iter	Passed	Remaining
928	7078	541
929	7085	533
930	7091	525
931	7098	517
932	7104	510
933	7111	502
934	7117	494
935	7124	487
936	7130	479
937	7137	471
938	7143	464
939	7148	456
940	7154	448
941	7160	440
942	7166	433
943	7173	425
944	7178	417
945	7184	410
946	7192	402
947	7198	394
948	7204	387
949	7211	379
950	7217	371
951	7224	364
952	7230	356
953	7236	348
954	7242	341
955	7249	333
956	7255	326
957	7262	318
958	7268	310
959	7275	303
960	7281	295
961	7288	287
962	7295	280
963	7301	272
964	7307	265
965	7313	257
966	7320	249
967	7327	242
968	7333	234
969	7339	227
970	7345	219
971	7351	211
972	7357	204
973	7363	196
974	7369	188
975	7375	181
976	7381	173
977	7387	166
978	7392	158
979	7398	150
980	7405	143
981	7411	135
982	7418	128
983	7423	120
984	7429	113
985	7435	105
986	7441	98
987	7449	90
988	7456	82
989	7462	75
990	7467	67
991	7474	60
992	7479	52
993	7485	45
994	7492	37
995	7498	30
996	7504	22
997	7511	15
998	7517	7
999	7523	0
